Country/Region,Confirmed,Deaths,Recovered,Active,New confirmed,New deaths,New recovered,Recovery rate(per 100),Mortality rate(per 100)
Afghanistan,47851,1919,38032,7900,135,13,112,79.48,4.01
Albania,45188,951,23072,21165,752,15,545,51.06,2.1
Algeria,90014,2554,58146,29314,598,15,0,64.6,2.84
Andorra,7162,78,6452,632,35,0,85,90.09,1.09
Angola,15804,358,8579,6867,75,3,109,54.28,2.27
Antigua and Barbuda,146,4,138,4,0,0,4,94.52,2.74
Argentina,1475222,40222,1311488,123512,5303,213,5901,88.9,2.73
Armenia,144066,2393,120532,21141,1138,21,1385,83.66,1.66
Australia,28000,908,25664,1428,7,0,13,91.66,3.24
Austria,311002,4056,265815,41131,2932,54,3501,85.47,1.3
Azerbaijan,158555,1755,96330,60470,4403,42,2919,60.75,1.11
Bahamas,7585,163,6032,1390,6,0,29,79.53,2.15
Bahrain,88495,347,86518,1630,201,4,170,97.77,0.39
Bangladesh,484104,6930,405966,71208,2159,24,4772,83.86,1.43
Barbados,290,7,264,19,1,0,1,91.03,2.41
Belarus,152453,1230,129950,21273,1851,8,2422,85.24,0.81
Belgium,597643,17603,0,580040,3071,96,0,0.0,2.95
Belize,8519,183,4075,4261,506,4,63,47.83,2.15
Benin,3090,44,2972,74,17,0,50,96.18,1.42
Bhutan,433,0,395,38,0,0,2,91.22,0.0
Bolivia,146060,9004,125490,11566,214,2,260,85.92,6.16
Bosnia and Herzegovina,97317,3151,61322,32844,1296,70,1112,63.01,3.24
Botswana,12058,36,9400,2622,0,0,0,77.96,0.3
Brazil,6728452,178995,5966118,583339,53453,836,626,88.67,2.66
Brunei,152,3,147,2,0,0,0,96.71,1.97
Bulgaria,171493,5283,72078,94132,3328,127,3050,42.03,3.08
Burkina Faso,3469,69,2742,658,0,0,0,79.04,1.99
Burma,103166,2174,81715,19277,1427,23,989,79.21,2.11
Burundi,720,1,630,89,4,0,0,87.5,0.14
Cabo Verde,11192,109,10760,323,74,0,48,96.14,0.97
Cambodia,356,0,307,49,2,0,0,86.24,0.0
Cameroon,24963,443,23344,1176,211,0,0,93.51,1.77
Canada,439142,13009,0,426133,6399,122,0,0.0,2.96
Central African Republic,4927,63,1924,2940,0,0,0,39.05,1.28
Chad,1732,102,1581,49,3,0,8,91.28,5.89
Chile,564778,15690,539171,9917,1244,10,1444,95.47,2.78
China,93898,4748,85949,3201,116,2,99,91.53,5.06
Colombia,1392133,38308,1287597,66228,7523,150,9271,92.49,2.75
Comoros,617,7,605,5,0,0,0,98.06,1.13
Costa Rica,148688,1864,107624,39200,1258,18,1938,72.38,1.25
