Date,Country/Region,Confirmed,Deaths,Recovered,Active,New confirmed,New deaths,New recovered
2020-01-22,Ireland,0,0,0,0,0,0,0
2020-01-23,Ireland,0,0,0,0,0,0,0
2020-01-24,Ireland,0,0,0,0,0,0,0
2020-01-25,Ireland,0,0,0,0,0,0,0
2020-01-26,Ireland,0,0,0,0,0,0,0
2020-01-27,Ireland,0,0,0,0,0,0,0
2020-01-28,Ireland,0,0,0,0,0,0,0
2020-01-29,Ireland,0,0,0,0,0,0,0
2020-01-30,Ireland,0,0,0,0,0,0,0
2020-01-31,Ireland,0,0,0,0,0,0,0
2020-02-01,Ireland,0,0,0,0,0,0,0
2020-02-02,Ireland,0,0,0,0,0,0,0
2020-02-03,Ireland,0,0,0,0,0,0,0
2020-02-04,Ireland,0,0,0,0,0,0,0
2020-02-05,Ireland,0,0,0,0,0,0,0
2020-02-06,Ireland,0,0,0,0,0,0,0
2020-02-07,Ireland,0,0,0,0,0,0,0
2020-02-08,Ireland,0,0,0,0,0,0,0
2020-02-09,Ireland,0,0,0,0,0,0,0
2020-02-10,Ireland,0,0,0,0,0,0,0
2020-02-11,Ireland,0,0,0,0,0,0,0
2020-02-12,Ireland,0,0,0,0,0,0,0
2020-02-13,Ireland,0,0,0,0,0,0,0
2020-02-14,Ireland,0,0,0,0,0,0,0
2020-02-15,Ireland,0,0,0,0,0,0,0
2020-02-16,Ireland,0,0,0,0,0,0,0
2020-02-17,Ireland,0,0,0,0,0,0,0
2020-02-18,Ireland,0,0,0,0,0,0,0
2020-02-19,Ireland,0,0,0,0,0,0,0
2020-02-20,Ireland,0,0,0,0,0,0,0
2020-02-21,Ireland,0,0,0,0,0,0,0
2020-02-22,Ireland,0,0,0,0,0,0,0
2020-02-23,Ireland,0,0,0,0,0,0,0
2020-02-24,Ireland,0,0,0,0,0,0,0
2020-02-25,Ireland,0,0,0,0,0,0,0
2020-02-26,Ireland,0,0,0,0,0,0,0
2020-02-27,Ireland,0,0,0,0,0,0,0
2020-02-28,Ireland,0,0,0,0,0,0,0
2020-02-29,Ireland,1,0,0,1,1,0,0
2020-03-01,Ireland,1,0,0,1,0,0,0
2020-03-02,Ireland,1,0,0,1,0,0,0
2020-03-03,Ireland,2,0,0,2,1,0,0
2020-03-04,Ireland,6,0,0,6,4,0,0
2020-03-05,Ireland,6,0,0,6,0,0,0
2020-03-06,Ireland,18,0,0,18,12,0,0
2020-03-07,Ireland,18,0,0,18,0,0,0
2020-03-08,Ireland,19,0,0,19,1,0,0
2020-03-09,Ireland,21,0,0,21,2,0,0
2020-03-10,Ireland,34,0,0,34,13,0,0
2020-03-11,Ireland,43,1,0,42,9,1,0
2020-03-12,Ireland,43,1,0,42,0,0,0
2020-03-13,Ireland,90,1,0,89,47,0,0
2020-03-14,Ireland,129,2,0,127,39,1,0
2020-03-15,Ireland,129,2,0,127,0,0,0
2020-03-16,Ireland,169,2,0,167,40,0,0
2020-03-17,Ireland,223,2,5,216,54,0,5
2020-03-18,Ireland,292,2,5,285,69,0,0
2020-03-19,Ireland,557,3,5,549,265,1,0
2020-03-20,Ireland,683,3,5,675,126,0,0
2020-03-21,Ireland,785,3,5,777,102,0,0
2020-03-22,Ireland,906,4,5,897,121,1,0
2020-03-23,Ireland,1125,6,5,1114,219,2,0
2020-03-24,Ireland,1329,7,5,1317,204,1,0
2020-03-25,Ireland,1564,9,5,1550,235,2,0
2020-03-26,Ireland,1819,19,5,1795,255,10,0
2020-03-27,Ireland,2121,22,5,2094,302,3,0
2020-03-28,Ireland,2415,36,5,2374,294,14,0
2020-03-29,Ireland,2615,46,5,2564,200,10,0
2020-03-30,Ireland,2910,54,5,2851,295,8,0
2020-03-31,Ireland,3235,71,5,3159,325,17,0
2020-04-01,Ireland,3447,85,5,3357,212,14,0
2020-04-02,Ireland,3849,98,5,3746,402,13,0
2020-04-03,Ireland,4273,120,5,4148,424,22,0
