Date,Confirmed,Deaths,Recovered,Active,New confirmed,New deaths,New recovered,Recovery rate(per 100),Mortality rate(per 100),Number of countries
2020-01-22,555,17,28,510,0,0,0,5.05,3.06,6
2020-01-23,654,18,30,606,99,1,2,4.59,2.75,8
2020-01-24,941,26,36,879,287,8,6,3.83,2.76,9
2020-01-25,1434,42,39,1353,493,16,3,2.72,2.93,11
2020-01-26,2118,56,52,2010,684,14,13,2.46,2.64,13
2020-01-27,2927,82,61,2784,809,26,9,2.08,2.8,16
2020-01-28,5578,131,107,5340,2651,49,46,1.92,2.35,16
2020-01-29,6167,133,125,5909,589,2,18,2.03,2.16,18
2020-01-30,8235,171,141,7923,2068,38,16,1.71,2.08,20
2020-01-31,9927,213,219,9495,1692,42,78,2.21,2.15,23
2020-02-01,12038,259,281,11498,2111,46,62,2.33,2.15,25
2020-02-02,16787,362,459,15966,4749,103,178,2.73,2.16,25
2020-02-03,19887,426,604,18857,3100,64,145,3.04,2.14,25
2020-02-04,23898,492,821,22585,4011,66,217,3.44,2.06,26
2020-02-05,27643,564,1071,26008,3745,72,250,3.87,2.04,26
2020-02-06,30803,634,1418,28751,3160,70,347,4.6,2.06,26
2020-02-07,34396,719,1903,31774,3593,85,485,5.53,2.09,27
2020-02-08,37130,806,2470,33854,2734,87,567,6.65,2.17,27
2020-02-09,40160,906,3057,36197,3030,100,587,7.61,2.26,27
2020-02-10,42769,1013,3714,38042,2609,107,657,8.68,2.37,27
2020-02-11,44811,1113,4417,39281,2042,100,703,9.86,2.48,27
2020-02-12,45229,1118,4849,39262,418,5,432,10.72,2.47,27
2020-02-13,60382,1371,5930,53081,15153,253,1081,9.82,2.27,27
2020-02-14,66909,1523,7613,57773,6527,152,1683,11.38,2.28,28
2020-02-15,69051,1666,8902,58483,2142,143,1289,12.89,2.41,28
2020-02-16,71235,1770,10319,59146,2184,104,1417,14.49,2.48,28
2020-02-17,73270,1868,11951,59451,2035,98,1632,16.31,2.55,28
2020-02-18,75152,2008,13693,59451,1882,140,1742,18.22,2.67,28
2020-02-19,75652,2123,15395,58134,500,115,1702,20.35,2.81,29
2020-02-20,76212,2248,17370,56594,560,125,1975,22.79,2.95,29
2020-02-21,76841,2252,17967,56622,629,4,597,23.38,2.93,31
2020-02-22,78602,2459,21850,54293,1761,207,3883,27.8,3.13,31
2020-02-23,78982,2470,22304,54208,380,11,454,28.24,3.13,32
2020-02-24,79546,2630,24047,52869,564,160,1743,30.23,3.31,37
2020-02-25,80399,2710,26652,51037,853,80,2605,33.15,3.37,42
2020-02-26,81376,2771,29087,49518,977,61,2435,35.74,3.41,48
2020-02-27,82736,2814,31928,47994,1360,43,2841,38.59,3.4,52
2020-02-28,84123,2873,35315,45935,1387,59,3387,41.98,3.42,58
2020-02-29,86013,2942,38323,44748,1890,69,3008,44.55,3.42,62
2020-03-01,88394,2996,41217,44181,2381,54,2894,46.63,3.39,67
2020-03-02,90377,3085,44094,43198,1983,89,2877,48.79,3.41,74
2020-03-03,92963,3160,46690,43113,2586,75,2596,50.22,3.4,77
2020-03-04,95279,3255,49628,42396,2316,95,2938,52.09,3.42,81
2020-03-05,98044,3348,52246,42450,2765,93,2618,53.29,3.41,85
2020-03-06,102043,3460,54308,44275,3999,112,2062,53.22,3.39,94
2020-03-07,106109,3559,56798,45752,4066,99,2490,53.53,3.35,95
2020-03-08,110058,3803,59130,47125,3949,244,2332,53.73,3.46,100
2020-03-09,114027,3987,60929,49111,3969,184,1799,53.43,3.5,103
2020-03-10,119052,4267,62838,51947,5025,280,1909,52.78,3.58,106
2020-03-11,126702,4611,65434,56657,7678,344,2596,51.64,3.64,112
2020-03-12,132492,4917,66755,60820,5790,306,1321,50.38,3.71,114
2020-03-13,146879,5414,68681,72784,14387,497,1926,46.76,3.69,121
2020-03-14,157952,5834,71051,81067,11073,420,2370,44.98,3.69,135
2020-03-15,169222,6475,74461,88286,11270,641,3410,44.0,3.83,139
2020-03-16,184032,7153,76514,100365,14810,678,2053,41.58,3.89,145
2020-03-17,199976,7964,79261,112751,15944,811,2747,39.64,3.98,148
2020-03-18,219535,8867,81747,128921,19559,903,2486,37.24,4.04,152
2020-03-19,246584,9980,83389,153215,27049,1113,1642,33.82,4.05,156
2020-03-20,277361,11459,85833,180069,30777,1479,2444,30.95,4.13,163
2020-03-21,309363,13181,90078,206104,32002,1722,4245,29.12,4.26,165
2020-03-22,343679,14855,96297,232527,34316,1674,6219,28.02,4.32,170
2020-03-23,387045,16797,96766,273482,43366,1942,469,25.0,4.34,171
2020-03-24,428455,19082,106300,303073,41425,2285,9534,24.81,4.45,173
2020-03-25,479489,21881,112011,345597,51034,2799,5711,23.36,4.56,176
2020-03-26,542352,24902,120382,397068,62863,3021,8371,22.2,4.59,176
2020-03-27,607469,28393,129095,449981,65117,3491,8713,21.25,4.67,177
2020-03-28,674773,32109,137392,505272,67304,3716,8297,20.36,4.76,178
2020-03-29,734025,35585,146837,551603,59252,3476,9445,20.0,4.85,178
2020-03-30,799411,39637,162296,597478,65386,4052,15459,20.3,4.96,179
2020-03-31,876288,44389,174658,657241,76877,4752,12362,19.93,5.07,181
2020-04-01,952799,49897,190287,712615,76511,5508,15629,19.97,5.24,181
2020-04-02,1034089,56132,206930,771027,81290,6235,16643,20.01,5.43,182
2020-04-03,1117368,62242,221943,833183,83279,6110,15013,19.86,5.57,182
2020-04-04,1197751,68409,241981,887361,80383,6167,20038,20.2,5.71,182
2020-04-05,1269728,73580,255439,940709,71977,5171,13458,20.12,5.79,183
2020-04-06,1342938,79526,271785,991627,73210,5946,16346,20.24,5.92,184
2020-04-07,1420723,87754,294573,1038396,77785,8228,22788,20.73,6.18,184
2020-04-08,1505115,94514,323026,1087575,84392,6760,28453,21.46,6.28,184
2020-04-09,1591308,102274,347270,1141764,86193,7760,24244,21.82,6.43,184
2020-04-10,1678725,109675,368359,1200691,87417,7401,21089,21.94,6.53,185
2020-04-11,1754891,115902,393874,1245115,76166,6227,25515,22.44,6.6,185
2020-04-12,1850360,121726,412765,1315869,95490,5824,18891,22.31,6.58,185
2020-04-13,1920520,127630,439388,1353502,70160,5904,26623,22.88,6.65,185
2020-04-14,1991778,134609,464006,1393163,71258,6979,24618,23.3,6.76,185
2020-04-15,2073664,142964,499824,1430876,81886,8355,35818,24.1,6.89,185
2020-04-16,2170502,150251,530007,1490244,96838,7287,30183,24.42,6.92,185
2020-04-17,2258252,158618,555350,1544284,87750,8367,25343,24.59,7.02,185
2020-04-18,2331730,164638,578788,1588304,73479,6020,23438,24.82,7.06,185
2020-04-19,2411760,169899,609666,1632195,80030,5261,30878,25.28,7.04,185
2020-04-20,2486338,175758,631123,1679457,74578,5859,21457,25.38,7.07,185
2020-04-21,2562292,182945,665278,1714069,75954,7187,34155,25.96,7.14,185
2020-04-22,2639997,189674,694140,1756183,79893,6729,28862,26.29,7.18,185
2020-04-23,2727920,196511,722563,1808846,87923,6837,28423,26.49,7.2,185
2020-04-24,2812308,203177,772254,1836877,94422,6666,49691,27.46,7.22,185
2020-04-25,2895700,208812,799096,1887792,83392,5635,26842,27.6,7.21,185
2020-04-26,2967573,212753,826964,1927856,71874,3941,27868,27.87,7.17,185
2020-04-27,3037307,217426,853422,1966459,69734,4673,26458,28.1,7.16,185
2020-04-28,3112773,223972,885661,2003140,75571,6546,32239,28.45,7.2,185
2020-04-29,3190203,230707,926613,2032883,79942,6735,40952,29.05,7.23,185
